sequence_name,FSIG_a_mean,FSIG_a_var,FSIG_lt_mean,FSIG_lt_var,FSIG_lb_mean,FSIG_lb_var,FSIG_rt_mean,FSIG_rt_var,FSIG_rb_mean,FSIG_rb_var
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_125_250_854x480_HW_Q3_CRF10.bin,28.54803,1158.398,34.53256,1809.664,41.32215,1289.905,45.23898,3781.868,53.04551,3374.064
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_1375_1500_854x480_HW_Q3_CRF10.bin,18.01832,506.3405,24.06444,1166.321,27.55981,785.7833,30.04133,741.8871,35.11701,1090.935
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_1500_1625_854x480_HW_Q3_CRF10.bin,19.15248,563.4577,30.37374,795.9974,30.72908,656.0471,31.1968,1523.484,41.23854,3049.18
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_1625_1750_854x480_HW_Q3_CRF10.bin,10.67164,132.7255,20.22825,267.5621,18.00535,482.0304,19.15355,192.5179,21.42561,145.061
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_1750_1875_854x480_HW_Q3_CRF10.bin,16.3264,444.534,17.95416,370.42,35.09013,1936.88,25.1948,765.9044,25.82379,507.0416
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_1875_2000_854x480_HW_Q3_CRF10.bin,17.27992,879.893,19.55903,786.0225,34.57608,1643.833,13.74262,772.5367,40.28971,2162.595
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_2000_2125_854x480_HW_Q3_CRF10.bin,31.47601,1225.63,36.19483,2102.505,49.35729,2761.807,34.49141,2588.289,57.56667,4675.645
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_2125_2250_854x480_HW_Q3_CRF10.bin,14.52916,546.0404,22.83584,1654.001,29.42359,2569.329,19.04009,1013.49,25.1426,1631.437
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_2250_2375_854x480_HW_Q3_CRF10.bin,21.03038,253.8645,18.56161,572.5177,43.04803,988.8815,27.22733,1037.404,45.42953,745.3394
China_Anne_McClain_Thomas_Doherty_Dylan_Playfair_-_Whats_My_Name_(From_Descendants_2)_000_2375_2500_854x480_HW_Q3_CRF10.bin,14.49043,644.6376,17.64652,1527.621,32.98185,2905.792,20.8614,851.3583,31.07717,983.035
